"filename", "language", "TypeScript React", "TypeScript", "comment", "blank", "total"
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/404.tsx", "TypeScript React", 11, 0, 0, 3, 14
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/_app.tsx", "TypeScript React", 7, 0, 2, 5, 14
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/_document.tsx", "TypeScript React", 15, 0, 0, 2, 17
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/account/signin.tsx", "TypeScript React", 121, 0, 0, 14, 135
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/account/signup.tsx", "TypeScript React", 121, 0, 0, 14, 135
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/api/hello.ts", "TypeScript", 0, 10, 1, 3, 14
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/api/recipes/[id].ts", "TypeScript", 0, 19, 0, 3, 22
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/api/recipes/create.ts", "TypeScript", 0, 21, 1, 3, 25
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/api/recipes/index.ts", "TypeScript", 0, 13, 1, 3, 17
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/index.tsx", "TypeScript React", 22, 0, 1, 5, 28
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/recipes/[id].tsx", "TypeScript React", 71, 0, 3, 14, 88
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/recipes/index.tsx", "TypeScript React", 22, 0, 0, 3, 25
"/Users/jacob/Documents/GitHub/Recipe_app/src/pages/testing.tsx", "TypeScript React", 109, 0, 1, 15, 125
"Total", "-", 499, 63, 10, 87, 659